IP,MAC,First Seen,Last Seen,Total Traffic (bytes),Top DNS Queries
172.16.3.0,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300404,2024-07-17 14:01:07.340589,0,
172.16.3.1,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300433,2024-07-17 14:01:07.340617,0,
172.16.3.2,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300438,2024-07-17 14:01:07.340623,0,
172.16.3.3,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300442,2024-07-17 14:01:07.340628,0,
172.16.3.4,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300446,2024-07-17 14:01:07.340632,0,
172.16.3.217,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300450,2024-07-17 13:50:23.120396,0,
172.16.3.156,8c:94:1f:51:4b:56,2024-07-17 13:48:54.616395,2024-07-17 13:48:54.616396,0,
172.16.3.203,8c:94:1f:51:4b:56,2024-07-17 13:48:56.900488,2024-07-17 14:00:46.416442,0,
172.16.3.133,8c:94:1f:51:4b:56,2024-07-17 13:48:59.236263,2024-07-17 13:48:59.236264,0,
172.16.3.199,8c:94:1f:51:4b:56,2024-07-17 13:49:01.532303,2024-07-17 14:00:18.700258,0,
172.16.3.136,8c:94:1f:51:4b:56,2024-07-17 13:49:03.832220,2024-07-17 13:51:33.808619,0,
172.16.3.123,8c:94:1f:51:4b:56,2024-07-17 13:49:06.236449,2024-07-17 14:00:09.520360,0,
172.16.3.49,8c:94:1f:51:4b:56,2024-07-17 13:49:08.484214,2024-07-17 13:49:08.484215,0,
172.16.3.101,8c:94:1f:51:4b:56,2024-07-17 13:49:10.824035,2024-07-17 14:00:48.724492,0,
172.16.3.126,8c:94:1f:51:4b:56,2024-07-17 13:49:13.076255,2024-07-17 13:51:09.884303,0,
172.16.3.127,8c:94:1f:51:4b:56,2024-07-17 13:49:15.400261,2024-07-17 13:49:15.400281,0,
172.16.3.169,8c:94:1f:51:4b:56,2024-07-17 13:49:17.664498,2024-07-17 13:52:48.084501,0,
172.16.3.113,8c:94:1f:51:4b:56,2024-07-17 13:49:19.984377,2024-07-17 13:50:04.616178,0,
172.16.3.46,8c:94:1f:51:4b:56,2024-07-17 13:49:22.420632,2024-07-17 13:58:01.813734,0,
172.16.3.186,8c:94:1f:51:4b:56,2024-07-17 13:49:22.420643,2024-07-17 13:49:22.420646,0,
172.16.3.90,8c:94:1f:51:4b:56,2024-07-17 13:49:27.232358,2024-07-17 13:49:27.232380,0,
172.16.3.146,8c:94:1f:51:4b:56,2024-07-17 13:49:27.232385,2024-07-17 13:49:27.232387,0,
172.16.3.7,8c:94:1f:51:4b:56,2024-07-17 13:49:29.504342,2024-07-17 13:49:29.504364,0,
172.16.3.153,8c:94:1f:51:4b:56,2024-07-17 13:49:29.504373,2024-07-17 13:59:13.824748,0,
172.16.3.54,8c:94:1f:51:4b:56,2024-07-17 13:49:32.008479,2024-07-17 13:50:04.616154,0,
172.16.3.140,8c:94:1f:51:4b:56,2024-07-17 13:49:32.008487,2024-07-17 13:52:43.440323,0,
172.16.3.254,8c:94:1f:51:4b:56,2024-07-17 13:49:32.008494,2024-07-17 13:51:50.204530,0,
172.16.3.63,8c:94:1f:51:4b:56,2024-07-17 13:49:34.580142,2024-07-17 13:49:34.580144,0,
172.16.3.107,8c:94:1f:51:4b:56,2024-07-17 13:49:34.580148,2024-07-17 13:56:37.716226,0,
172.16.3.224,8c:94:1f:51:4b:56,2024-07-17 13:49:34.580151,2024-07-17 14:00:57.904719,0,
172.16.3.68,8c:94:1f:51:4b:56,2024-07-17 13:49:39.760338,2024-07-17 13:53:41.932143,0,
172.16.3.223,8c:94:1f:51:4b:56,2024-07-17 13:49:39.760343,2024-07-17 13:56:40.044528,0,
172.16.3.74,8c:94:1f:51:4b:56,2024-07-17 13:49:45.456366,2024-07-17 13:56:23.492309,0,
172.16.3.214,8c:94:1f:51:4b:56,2024-07-17 13:49:50.064425,2024-07-17 13:54:34.948661,0,
172.16.3.191,8c:94:1f:51:4b:56,2024-07-17 13:49:57.296368,2024-07-17 13:49:57.296369,0,
172.16.3.108,8c:94:1f:51:4b:56,2024-07-17 13:49:59.656286,2024-07-17 13:49:59.656302,0,
172.16.3.30,8c:94:1f:51:4b:56,2024-07-17 13:50:01.936441,2024-07-17 13:50:01.936443,0,
172.16.3.196,8c:94:1f:51:4b:56,2024-07-17 13:50:04.616181,2024-07-17 13:54:50.956290,0,
172.16.3.216,8c:94:1f:51:4b:56,2024-07-17 13:50:06.900659,2024-07-17 13:55:32.550737,0,
172.16.3.73,8c:94:1f:51:4b:56,2024-07-17 13:50:09.260282,2024-07-17 13:50:09.260283,0,
172.16.3.161,8c:94:1f:51:4b:56,2024-07-17 13:50:09.260289,2024-07-17 13:50:09.260290,0,
172.16.3.250,8c:94:1f:51:4b:56,2024-07-17 13:50:09.260293,2024-07-17 13:50:09.260294,0,
172.16.3.48,8c:94:1f:51:4b:56,2024-07-17 13:50:11.540408,2024-07-17 13:56:21.156282,0,
172.16.3.245,8c:94:1f:51:4b:56,2024-07-17 13:50:13.852449,2024-07-17 13:50:13.852452,0,
172.16.3.201,8c:94:1f:51:4b:56,2024-07-17 13:50:16.144644,2024-07-17 14:00:32.528532,0,
172.16.3.137,8c:94:1f:51:4b:56,2024-07-17 13:50:18.456778,2024-07-17 13:54:16.424150,0,
172.16.3.50,8c:94:1f:51:4b:56,2024-07-17 13:50:20.828554,2024-07-17 13:53:20.548350,0,
172.16.3.91,8c:94:1f:51:4b:56,2024-07-17 13:50:23.120371,2024-07-17 13:50:23.120391,0,
172.16.3.183,8c:94:1f:51:4b:56,2024-07-17 13:50:27.916422,2024-07-17 13:57:00.960172,0,
172.16.3.114,8c:94:1f:51:4b:56,2024-07-17 13:50:30.204365,2024-07-17 13:54:21.064342,0,
172.16.3.62,8c:94:1f:51:4b:56,2024-07-17 13:50:32.568203,2024-07-17 13:50:32.568204,0,
172.16.3.15,8c:94:1f:51:4b:56,2024-07-17 13:50:34.916333,2024-07-17 13:50:34.916335,0,
172.16.3.237,8c:94:1f:51:4b:56,2024-07-17 13:50:34.916340,2024-07-17 13:50:34.916342,0,
172.16.3.195,8c:94:1f:51:4b:56,2024-07-17 13:50:37.216403,2024-07-17 13:55:23.308351,0,
172.16.3.189,8c:94:1f:51:4b:56,2024-07-17 13:50:41.948220,2024-07-17 14:00:23.288437,0,
172.16.3.118,8c:94:1f:51:4b:56,2024-07-17 13:50:44.260165,2024-07-17 13:56:56.388156,0,
172.16.3.207,8c:94:1f:51:4b:56,2024-07-17 13:50:46.536195,2024-07-17 14:00:00.272150,0,
172.16.3.185,8c:94:1f:51:4b:56,2024-07-17 13:50:48.852287,2024-07-17 13:52:52.672461,0,
172.16.3.209,8c:94:1f:51:4b:56,2024-07-17 13:50:51.147154,2024-07-17 13:53:35.012600,0,
172.16.3.173,8c:94:1f:51:4b:56,2024-07-17 13:50:53.520096,2024-07-17 13:50:53.520118,0,
172.16.3.69,8c:94:1f:51:4b:56,2024-07-17 13:50:55.824317,2024-07-17 13:50:55.824318,0,
172.16.3.12,8c:94:1f:51:4b:56,2024-07-17 13:51:02.864508,2024-07-17 13:51:02.864510,0,
172.16.3.247,8c:94:1f:51:4b:56,2024-07-17 13:51:02.864516,2024-07-17 13:51:02.864519,0,
172.16.3.31,8c:94:1f:51:4b:56,2024-07-17 13:51:05.192083,2024-07-17 13:51:05.192102,0,
172.16.3.210,8c:94:1f:51:4b:56,2024-07-17 13:51:07.500573,2024-07-17 13:56:11.752380,0,
172.16.3.182,8c:94:1f:51:4b:56,2024-07-17 13:51:09.884306,2024-07-17 13:56:28.228278,0,
172.16.3.218,8c:94:1f:51:4b:56,2024-07-17 13:51:12.144266,2024-07-17 14:00:11.808363,0,
172.16.3.95,8c:94:1f:51:4b:56,2024-07-17 13:51:14.452357,2024-07-17 13:55:55.636263,0,
172.16.3.170,8c:94:1f:51:4b:56,2024-07-17 13:51:14.452364,2024-07-17 13:51:45.644263,0,
172.16.3.55,8c:94:1f:51:4b:56,2024-07-17 13:51:16.788258,2024-07-17 13:51:16.788259,0,
172.16.3.40,8c:94:1f:51:4b:56,2024-07-17 13:51:19.064376,2024-07-17 13:51:19.064377,0,
172.16.3.67,8c:94:1f:51:4b:56,2024-07-17 13:51:21.536596,2024-07-17 13:51:21.536598,0,
172.16.3.212,8c:94:1f:51:4b:56,2024-07-17 13:51:21.536605,2024-07-17 14:00:02.556535,0,
172.16.3.6,8c:94:1f:51:4b:56,2024-07-17 13:51:26.784118,2024-07-17 13:51:36.252485,0,
172.16.3.235,8c:94:1f:51:4b:56,2024-07-17 13:51:26.784144,2024-07-17 13:51:26.784146,0,
172.16.3.117,8c:94:1f:51:4b:56,2024-07-17 13:51:29.224192,2024-07-17 13:51:29.224193,0,
172.16.3.211,8c:94:1f:51:4b:56,2024-07-17 13:51:31.544117,2024-07-17 13:58:26.420397,0,
172.16.3.181,8c:94:1f:51:4b:56,2024-07-17 13:51:38.540328,2024-07-17 13:59:57.980420,0,
172.16.3.158,8c:94:1f:51:4b:56,2024-07-17 13:51:40.832540,2024-07-17 13:52:57.324462,0,
172.16.3.240,8c:94:1f:51:4b:56,2024-07-17 13:51:43.126878,2024-07-17 13:51:43.126880,0,
172.16.3.94,8c:94:1f:51:4b:56,2024-07-17 13:51:47.912376,2024-07-17 13:56:30.600294,0,
172.16.3.110,8c:94:1f:51:4b:56,2024-07-17 13:51:50.204521,2024-07-17 13:58:09.140284,0,
172.16.3.225,8c:94:1f:51:4b:56,2024-07-17 13:51:52.464447,2024-07-17 13:57:19.260462,0,
172.16.3.32,8c:94:1f:51:4b:56,2024-07-17 13:51:54.900320,2024-07-17 13:51:54.900321,0,
172.16.3.174,8c:94:1f:51:4b:56,2024-07-17 13:51:54.900326,2024-07-17 13:57:14.684506,0,
172.16.3.96,8c:94:1f:51:4b:56,2024-07-17 13:51:57.260064,2024-07-17 13:52:36.428350,0,
172.16.3.192,8c:94:1f:51:4b:56,2024-07-17 13:51:59.540385,2024-07-17 13:51:59.540387,0,
172.16.3.141,8c:94:1f:51:4b:56,2024-07-17 13:52:01.872394,2024-07-17 13:52:34.136573,0,
172.16.3.111,8c:94:1f:51:4b:56,2024-07-17 13:52:11.044401,2024-07-17 13:52:11.044403,0,
172.16.3.164,8c:94:1f:51:4b:56,2024-07-17 13:52:17.996349,2024-07-17 13:57:40.540287,0,
172.16.3.112,8c:94:1f:51:4b:56,2024-07-17 13:52:20.340277,2024-07-17 13:52:20.340279,0,
172.16.3.131,8c:94:1f:51:4b:56,2024-07-17 13:52:24.936434,2024-07-17 14:01:07.340637,0,
172.16.3.98,8c:94:1f:51:4b:56,2024-07-17 13:52:27.308152,2024-07-17 13:52:27.308165,0,
172.16.3.13,8c:94:1f:51:4b:56,2024-07-17 13:52:29.560400,2024-07-17 13:52:29.560402,0,
172.16.3.171,8c:94:1f:51:4b:56,2024-07-17 13:52:31.836166,2024-07-17 13:55:21.004273,0,
172.16.3.204,8c:94:1f:51:4b:56,2024-07-17 13:52:38.692412,2024-07-17 13:53:13.452443,0,
172.16.3.23,8c:94:1f:51:4b:56,2024-07-17 13:52:45.748138,2024-07-17 13:52:45.748158,0,
172.16.3.99,8c:94:1f:51:4b:56,2024-07-17 13:52:50.368207,2024-07-17 14:00:34.889875,0,
172.16.3.129,8c:94:1f:51:4b:56,2024-07-17 13:52:54.976494,2024-07-17 13:58:52.132241,0,
172.16.3.65,8c:94:1f:51:4b:56,2024-07-17 13:52:59.624771,2024-07-17 13:52:59.624772,0,
172.16.3.206,8c:94:1f:51:4b:56,2024-07-17 13:53:04.196403,2024-07-17 14:00:20.988659,0,
172.16.3.130,8c:94:1f:51:4b:56,2024-07-17 13:53:06.504329,2024-07-17 13:54:53.244270,0,
172.16.3.122,8c:94:1f:51:4b:56,2024-07-17 13:53:08.840518,2024-07-17 13:53:08.840518,0,
172.16.3.79,8c:94:1f:51:4b:56,2024-07-17 13:53:11.160311,2024-07-17 13:54:37.228246,0,
172.16.3.176,8c:94:1f:51:4b:56,2024-07-17 13:53:15.976295,2024-07-17 13:58:04.112572,0,
172.16.3.81,8c:94:1f:51:4b:56,2024-07-17 13:53:18.260256,2024-07-17 13:53:18.260258,0,
172.16.3.208,8c:94:1f:51:4b:56,2024-07-17 13:53:22.812369,2024-07-17 14:00:37.168347,0,
172.16.3.41,8c:94:1f:51:4b:56,2024-07-17 13:53:25.316430,2024-07-17 13:56:16.388260,0,
172.16.3.71,8c:94:1f:51:4b:56,2024-07-17 13:53:30.344382,2024-07-17 13:53:30.344383,0,
172.16.3.152,8c:94:1f:51:4b:56,2024-07-17 13:53:30.344388,2024-07-17 13:59:51.080418,0,
172.16.3.142,8c:94:1f:51:4b:56,2024-07-17 13:53:37.304151,2024-07-17 13:55:30.268375,0,
172.16.3.172,8c:94:1f:51:4b:56,2024-07-17 13:53:39.588587,2024-07-17 14:00:07.208267,0,
172.16.3.121,8c:94:1f:51:4b:56,2024-07-17 13:53:44.216418,2024-07-17 13:58:28.780237,0,
172.16.3.220,8c:94:1f:51:4b:56,2024-07-17 13:53:48.820374,2024-07-17 13:53:48.820375,0,
172.16.3.144,8c:94:1f:51:4b:56,2024-07-17 13:53:51.144608,2024-07-17 13:57:47.532390,0,
172.16.3.230,8c:94:1f:51:4b:56,2024-07-17 13:54:00.316231,2024-07-17 13:54:00.316232,0,
172.16.3.236,8c:94:1f:51:4b:56,2024-07-17 13:54:23.312308,2024-07-17 13:54:23.312310,0,
172.16.3.168,8c:94:1f:51:4b:56,2024-07-17 13:54:25.660621,2024-07-17 13:57:05.548309,0,
172.16.3.155,8c:94:1f:51:4b:56,2024-07-17 13:54:28.024342,2024-07-17 14:00:27.908641,0,
172.16.3.157,8c:94:1f:51:4b:56,2024-07-17 13:54:41.792324,2024-07-17 13:56:40.044539,0,
172.16.3.132,8c:94:1f:51:4b:56,2024-07-17 13:54:46.416214,2024-07-17 13:59:25.524127,0,
172.16.3.231,8c:94:1f:51:4b:56,2024-07-17 13:54:48.664549,2024-07-17 14:01:02.660500,0,
172.16.3.120,8c:94:1f:51:4b:56,2024-07-17 13:54:55.588201,2024-07-17 13:54:55.588202,0,
172.16.3.219,8c:94:1f:51:4b:56,2024-07-17 13:54:57.852700,2024-07-17 13:54:57.852703,0,
172.16.3.83,8c:94:1f:51:4b:56,2024-07-17 13:55:04.868402,2024-07-17 13:55:04.868404,0,
172.16.3.165,8c:94:1f:51:4b:56,2024-07-17 13:55:09.480525,2024-07-17 13:55:53.300483,0,
172.16.3.18,8c:94:1f:51:4b:56,2024-07-17 13:55:11.796262,2024-07-17 13:55:11.796284,0,
172.16.3.190,8c:94:1f:51:4b:56,2024-07-17 13:55:18.692508,2024-07-17 13:55:18.692509,0,
172.16.3.102,8c:94:1f:51:4b:56,2024-07-17 13:55:25.668320,2024-07-17 13:55:25.668322,0,
172.16.3.177,8c:94:1f:51:4b:56,2024-07-17 13:55:34.832430,2024-07-17 13:55:34.832433,0,
172.16.3.213,8c:94:1f:51:4b:56,2024-07-17 13:55:37.116527,2024-07-17 14:00:55.628392,0,
172.16.3.200,8c:94:1f:51:4b:56,2024-07-17 13:55:39.404622,2024-07-17 13:59:48.768500,0,
172.16.3.193,8c:94:1f:51:4b:56,2024-07-17 13:55:44.004597,2024-07-17 13:58:40.312281,0,
172.16.3.160,8c:94:1f:51:4b:56,2024-07-17 13:56:00.236324,2024-07-17 13:56:00.236326,0,
172.16.3.175,8c:94:1f:51:4b:56,2024-07-17 13:56:02.556381,2024-07-17 13:56:23.492311,0,
172.16.3.89,8c:94:1f:51:4b:56,2024-07-17 13:56:04.944296,2024-07-17 13:56:04.944298,0,
172.16.3.188,8c:94:1f:51:4b:56,2024-07-17 13:56:14.028561,2024-07-17 13:57:54.628347,0,
172.16.3.143,8c:94:1f:51:4b:56,2024-07-17 13:56:18.764392,2024-07-17 13:56:18.764393,0,
172.16.3.84,8c:94:1f:51:4b:56,2024-07-17 13:56:18.764398,2024-07-17 13:56:18.764399,0,
172.16.3.251,8c:94:1f:51:4b:56,2024-07-17 13:56:18.764402,2024-07-17 13:56:18.764403,0,
172.16.3.93,8c:94:1f:51:4b:56,2024-07-17 13:56:21.156312,2024-07-17 13:56:44.763177,0,
172.16.3.5,8c:94:1f:51:4b:56,2024-07-17 13:56:25.833026,2024-07-17 13:56:25.833028,0,
172.16.3.10,8c:94:1f:51:4b:56,2024-07-17 13:56:28.228272,2024-07-17 14:01:05.056232,0,
172.16.3.59,8c:94:1f:51:4b:56,2024-07-17 13:56:35.272319,2024-07-17 13:56:35.272344,0,
172.16.3.215,8c:94:1f:51:4b:56,2024-07-17 13:56:35.272353,2024-07-17 13:59:37.248262,0,
172.16.3.229,8c:94:1f:51:4b:56,2024-07-17 13:56:37.716228,2024-07-17 13:56:37.716229,0,
172.16.3.37,8c:94:1f:51:4b:56,2024-07-17 13:56:40.044531,2024-07-17 13:56:40.044533,0,
172.16.3.97,8c:94:1f:51:4b:56,2024-07-17 13:56:42.388193,2024-07-17 13:56:42.388194,0,
172.16.3.221,8c:94:1f:51:4b:56,2024-07-17 13:56:47.104212,2024-07-17 13:57:07.808447,0,
172.16.3.139,8c:94:1f:51:4b:56,2024-07-17 13:56:51.740054,2024-07-17 13:59:32.588453,0,
172.16.3.197,8c:94:1f:51:4b:56,2024-07-17 13:56:54.064365,2024-07-17 14:00:53.328649,0,
172.16.3.150,8c:94:1f:51:4b:56,2024-07-17 13:57:03.232401,2024-07-17 13:59:41.912651,0,
172.16.3.205,8c:94:1f:51:4b:56,2024-07-17 13:57:12.408202,2024-07-17 13:59:18.456324,0,
172.16.3.147,8c:94:1f:51:4b:56,2024-07-17 13:57:35.468124,2024-07-17 13:59:23.224291,0,
172.16.3.80,8c:94:1f:51:4b:56,2024-07-17 13:57:38.228659,2024-07-17 13:57:38.228661,0,
172.16.3.184,8c:94:1f:51:4b:56,2024-07-17 13:57:38.228666,2024-07-17 13:57:38.228669,0,
172.16.3.145,8c:94:1f:51:4b:56,2024-07-17 13:57:45.152279,2024-07-17 14:00:44.084234,0,
172.16.3.162,8c:94:1f:51:4b:56,2024-07-17 13:57:49.872405,2024-07-17 13:57:49.872407,0,
172.16.3.47,8c:94:1f:51:4b:56,2024-07-17 13:57:52.320162,2024-07-17 13:59:20.868337,0,
172.16.3.103,8c:94:1f:51:4b:56,2024-07-17 13:57:59.488656,2024-07-17 13:58:33.408446,0,
172.16.3.252,8c:94:1f:51:4b:56,2024-07-17 13:58:06.568136,2024-07-17 13:58:06.568137,0,
172.16.3.58,8c:94:1f:51:4b:56,2024-07-17 13:58:11.513605,2024-07-17 13:58:11.513608,0,
172.16.3.17,8c:94:1f:51:4b:56,2024-07-17 13:58:19.516150,2024-07-17 13:58:19.516175,0,
172.16.3.124,8c:94:1f:51:4b:56,2024-07-17 13:58:42.679427,2024-07-17 13:58:42.679429,0,
172.16.3.78,8c:94:1f:51:4b:56,2024-07-17 13:58:47.364346,2024-07-17 13:58:47.364347,0,
172.16.3.53,8c:94:1f:51:4b:56,2024-07-17 13:58:49.708237,2024-07-17 13:58:49.708258,0,
172.16.3.128,8c:94:1f:51:4b:56,2024-07-17 13:58:54.484613,2024-07-17 13:59:39.624118,0,
172.16.3.109,8c:94:1f:51:4b:56,2024-07-17 13:58:57.106537,2024-07-17 13:58:57.106540,0,
172.16.3.246,8c:94:1f:51:4b:56,2024-07-17 13:58:57.106547,2024-07-17 13:58:57.106550,0,
172.16.3.56,8c:94:1f:51:4b:56,2024-07-17 13:58:59.436192,2024-07-17 13:58:59.436212,0,
172.16.3.104,8c:94:1f:51:4b:56,2024-07-17 13:59:04.092322,2024-07-17 13:59:04.092324,0,
172.16.3.243,8c:94:1f:51:4b:56,2024-07-17 13:59:06.348541,2024-07-17 13:59:06.348543,0,
172.16.3.202,8c:94:1f:51:4b:56,2024-07-17 13:59:11.404266,2024-07-17 13:59:11.404268,0,
172.16.3.234,8c:94:1f:51:4b:56,2024-07-17 13:59:27.792331,2024-07-17 13:59:27.792332,0,
172.16.3.135,8c:94:1f:51:4b:56,2024-07-17 13:59:30.152184,2024-07-17 14:00:04.892245,0,
172.16.3.178,8c:94:1f:51:4b:56,2024-07-17 13:59:46.476398,2024-07-17 13:59:46.476399,0,
172.16.3.163,8c:94:1f:51:4b:56,2024-07-17 14:00:14.132194,2024-07-17 14:00:14.132196,0,
172.16.3.194,8c:94:1f:51:4b:56,2024-07-17 14:00:16.416759,2024-07-17 14:00:41.768344,0,
172.16.3.148,8c:94:1f:51:4b:56,2024-07-17 14:00:39.488531,2024-07-17 14:00:39.488534,0,
172.16.3.187,8c:94:1f:51:4b:56,2024-07-17 14:00:51.044369,2024-07-17 14:00:51.044371,0,
172.16.3.154,8c:94:1f:51:4b:56,2024-07-17 14:01:09.816160,2024-07-17 14:01:09.816182,0,
