IP,MAC
172.16.2.7,00:1b:09:08:f5:04
172.16.2.6,00:1b:09:08:f4:fc
172.16.2.14,00:1b:09:08:f4:fb
172.16.2.5,8c:94:1f:51:4b:49
172.16.2.8,00:1b:09:08:f5:02
172.16.2.17,00:1b:09:08:b4:84
172.16.2.9,00:1b:09:08:f5:01
172.16.2.10,00:1b:09:08:f5:1b
172.16.2.12,00:1b:09:08:f4:fd
172.16.2.1,00:00:0c:07:ac:1e
172.16.2.29,00:17:c8:8f:a0:51
172.16.2.16,00:1b:09:08:f4:f6
172.16.2.13,00:1b:09:08:f5:07
172.16.2.15,00:1b:09:08:f4:f8
172.16.2.35,e4:a8:df:c3:ca:a8
172.16.2.41,0c:75:bd:35:91:8f
172.16.2.34,00:17:c8:51:da:db
172.16.2.45,00:17:c8:4b:b3:98
172.16.2.39,10:62:e5:6a:7e:f8
172.16.2.40,00:22:bd:fc:ac:f1
172.16.2.43,00:1f:6c:b5:02:5c
172.16.2.51,00:22:bd:fc:ac:ef
172.16.2.52,e4:a8:df:c3:cd:d3
172.16.2.48,c4:34:6b:71:b8:8b
172.16.2.49,ac:e2:d3:4c:bc:d3
172.16.2.50,c8:5a:cf:bd:1f:df
172.16.2.63,e4:a8:df:c3:cc:db
172.16.2.70,f0:7f:06:f0:7e:d2
172.16.2.71,f0:7f:06:f0:7e:d7
172.16.2.78,f0:7f:06:f0:7e:d0
172.16.2.76,c8:9c:dc:e5:ee:e0
172.16.2.75,00:17:c8:4b:b3:92
172.16.2.81,18:60:24:98:0e:a6
172.16.2.83,e4:a8:df:c3:cd:9c
172.16.2.86,00:17:c8:8f:a0:43
172.16.2.85,e8:39:35:40:29:bb
172.16.2.92,f8:7b:20:89:26:f0
172.16.2.94,50:54:7b:e4:9d:c7
172.16.2.93,18:60:24:8d:32:c3
172.16.2.95,b0:5c:da:36:7d:df
172.16.2.97,f0:7f:06:f0:7f:8c
172.16.2.99,c8:5a:cf:bd:1f:f6
172.16.2.101,00:17:c8:c8:1c:f3
172.16.2.103,e4:a8:df:c3:cd:80
172.16.2.102,38:22:e2:2e:41:2d
172.16.2.109,00:17:c8:bf:bf:a2
172.16.2.111,c8:9c:dc:e5:f0:f5
172.16.2.113,3c:52:82:ba:fd:30
172.16.2.114,e4:a8:df:c3:ce:97
172.16.2.120,00:e0:4c:36:00:d3
172.16.2.121,18:60:24:96:d8:4a
172.16.2.125,e4:a8:df:c3:56:1d
172.16.2.126,c4:34:6b:28:64:23
172.16.2.127,00:17:c8:bc:28:52
172.16.2.128,00:17:c8:bc:29:ab
172.16.2.132,ec:b1:d7:d9:cb:cd
172.16.2.131,50:67:ae:e3:81:4d
172.16.2.133,f4:30:b9:55:39:cd
172.16.2.135,18:60:24:98:0e:b7
172.16.2.141,00:17:c8:e4:ce:5b
172.16.2.142,e4:a8:df:c3:ce:7a
172.16.2.149,f0:7f:06:f0:7f:fd
172.16.2.147,e4:a8:df:c3:ce:06
172.16.2.151,70:c9:c6:68:5f:d4
172.16.2.155,38:22:e2:2e:3a:00
172.16.2.146,00:22:bd:fc:ad:4d
172.16.2.159,98:fa:9b:7c:df:94
172.16.2.157,00:e0:4c:36:06:2c
172.16.2.163,e4:a8:df:c3:cc:e7
172.16.2.169,00:17:c8:51:f1:30
172.16.2.181,c8:9c:dc:e5:f0:58
172.16.2.180,00:17:c8:51:f1:31
172.16.2.187,00:17:c8:51:f1:b0
172.16.2.188,c8:5a:cf:bd:1f:fb
172.16.2.191,74:26:ac:ef:84:cc
172.16.2.192,c8:5a:cf:bd:1f:b7
172.16.2.197,c8:5a:cf:bd:1f:da
172.16.2.195,e4:a8:df:c3:cd:73
172.16.2.252,00:17:c8:51:bb:07
172.16.2.254,04:76:b0:c4:51:e1
172.16.2.255,00:17:c8:f1:89:f7
172.16.3.0,00:17:c8:51:f1:d6
172.16.3.6,00:17:c8:f0:c3:d2
172.16.3.12,e4:a8:df:c3:56:32
172.16.3.10,00:17:c8:8f:a0:0c
172.16.3.14,c8:9c:dc:e5:f0:12
172.16.3.21,00:17:c8:07:8e:05
172.16.3.26,d4:f0:c9:02:80:c6
172.16.3.27,ac:b9:2f:3d:47:64
172.16.3.29,00:17:c8:07:b1:a7
172.16.3.28,00:17:c8:8f:a0:3a
172.16.3.30,d4:f0:c9:02:80:f4
172.16.3.33,00:17:c8:51:f1:9f
172.16.3.32,c8:5a:cf:bd:1f:fc
172.16.3.37,00:e0:99:00:1c:8d
172.16.3.45,d4:f0:c9:02:7f:8d
172.16.3.46,00:17:c8:bd:e9:6e
172.16.3.44,c8:5a:cf:bd:20:3e
172.16.3.53,18:60:24:90:9c:ee
172.16.3.57,00:22:bd:fc:ac:e9
172.16.3.60,e4:a8:df:c3:56:5c
172.16.3.62,3c:52:82:30:fe:bc
172.16.3.61,dc:4a:3e:56:4a:c4
172.16.3.63,78:7b:8a:d2:1a:98
172.16.3.68,c8:5a:cf:bd:20:32
172.16.3.69,a0:48:1c:93:f6:b1
172.16.3.74,c8:5a:cf:bd:1f:a1
172.16.3.76,74:26:ac:ef:84:ce
172.16.3.78,00:e0:4c:68:0a:0f
172.16.3.81,24:6c:84:f8:d9:f3
172.16.3.86,00:03:ea:18:aa:a0
172.16.3.87,c8:9c:dc:e3:f2:40
172.16.3.90,e4:a8:df:c3:ce:91
172.16.3.94,f0:7f:06:54:3a:d7
172.16.3.95,00:17:c8:df:50:ea
172.16.3.100,c8:5a:cf:bd:20:0f
172.16.3.102,00:17:c8:bd:e8:bc
172.16.3.103,d0:c0:bf:28:0d:c2
172.16.3.98,00:22:bd:fc:ac:ed
172.16.3.106,b0:5a:da:ee:6a:07
172.16.3.110,10:62:e5:a4:42:bb
172.16.3.105,44:8a:5b:e0:d5:a0
172.16.3.112,38:22:e2:2e:3f:b3
172.16.3.111,c8:5a:cf:bd:20:0e
172.16.3.116,d4:f0:c9:02:81:4b
172.16.3.115,c8:5a:cf:bd:20:21
172.16.3.117,00:c0:ee:ba:da:18
172.16.3.125,c8:9c:dc:e3:f2:a1
172.16.3.124,e4:a8:df:c3:55:b0
172.16.3.130,dc:4a:3e:56:5a:83
172.16.3.136,e4:a8:df:c3:cb:39
172.16.3.137,c8:5a:cf:bd:20:34
172.16.3.141,e4:a8:df:c3:ce:79
172.16.3.146,10:62:e5:58:7f:9e
172.16.3.154,44:8a:5b:e0:e1:b4
172.16.3.160,e4:a8:df:c3:56:49
172.16.3.158,38:22:e2:2e:40:d6
172.16.3.166,90:9a:4a:dd:3f:82
172.16.3.151,e0:db:55:d3:e4:a0
172.16.3.169,e4:a8:df:c3:ca:c7
172.16.3.171,e4:a8:df:c3:cc:f1
172.16.3.177,c8:5a:cf:bd:20:25
172.16.3.180,98:e7:f4:04:a3:21
172.16.3.181,18:60:24:90:9c:ca
172.16.3.185,c8:5a:cf:bd:20:36
172.16.3.187,f4:39:09:d8:13:97
172.16.3.189,f8:59:71:eb:7a:fd
172.16.3.190,00:c0:ee:a9:e9:27
172.16.3.193,c8:5a:cf:bd:1f:bc
172.16.3.195,00:17:c8:df:53:72
172.16.3.196,38:22:e2:2e:3f:8d
172.16.3.201,44:8a:5b:e3:0e:79
172.16.3.198,00:17:c8:07:a7:eb
172.16.3.202,e4:a8:df:c3:56:52
172.16.3.204,74:26:ac:ef:84:d9
172.16.3.208,f0:7f:06:f0:7e:b9
172.16.3.207,c8:5a:cf:bd:1f:f9
172.16.3.210,f0:9e:63:0f:05:55
172.16.3.212,c8:5a:cf:bd:1f:a3
172.16.3.226,e4:a8:df:c3:cd:c0
172.16.3.225,38:ea:a7:69:8c:53
172.16.3.230,e4:a8:df:c3:ce:7c
172.16.3.234,c8:5a:cf:bd:20:10
172.16.3.236,e4:a8:df:c3:51:1b
172.16.3.238,00:17:c8:c8:1d:ab
172.16.3.235,40:b0:34:4b:5d:da
172.16.3.247,c8:5a:cf:bd:1f:9b
172.16.3.250,c8:9c:dc:e3:f0:7c
